N,종목명,현재가,전일비,등락률,액면가,매출액,자산총계,영업이익
83.0,CJ제일제당,287500.0,2500.0,-0.86%,5000.0,300795.0,300132.0,16647.0
84.0,LG유플러스,9810.0,110.0,-1.11%,5000.0,139060.0,197748.0,10813.0
85.0,엔씨소프트,193600.0,12900.0,-6.25%,500.0,25718.0,44376.0,5590.0
86.0,현대제철,31400.0,1050.0,-3.24%,5000.0,273406.0,368010.0,16165.0
87.0,한미약품,330500.0,10500.0,-3.08%,2500.0,13315.0,19246.0,1581.0
88.0,코웨이,55700.0,1500.0,+2.77%,500.0,38561.0,43651.0,6774.0
89.0,미래에셋증권,6670.0,180.0,-2.63%,5000.0,191608.0,1062133.0,8356.0
90.0,현대차2우B,109700.0,1700.0,-1.53%,5000.0,,,
91.0,GS,40000.0,250.0,-0.62%,5000.0,287770.0,339222.0,50051.0
92.0,현대건설,32800.0,950.0,-2.81%,5000.0,212391.0,209117.0,5749.0
93.0,삼성카드,31500.0,300.0,-0.94%,5000.0,37946.0,296232.0,8489.0
94.0,오리온,89800.0,6800.0,-7.04%,500.0,28732.0,33717.0,4667.0
95.0,한화시스템,18480.0,290.0,-1.55%,5000.0,21880.0,39456.0,240.0
96.0,한미사이언스,49850.0,6350.0,-11.30%,500.0,10461.0,11097.0,676.0
97.0,한온시스템,6450.0,60.0,-0.92%,100.0,86277.0,90988.0,2566.0
98.0,HD현대일렉트릭,93000.0,0.0,0.00%,5000.0,21045.0,24350.0,1330.0
99.0,금호석유,115400.0,5100.0,-4.23%,5000.0,79756.0,77193.0,11477.0
100.0,삼성증권,36400.0,400.0,-1.09%,5000.0,134869.0,538483.0,5781.0
101.0,NH투자증권,9760.0,80.0,-0.81%,5000.0,115357.0,534283.0,5214.0
102.0,강원랜드,14630.0,270.0,-1.81%,500.0,12707.0,41678.0,2176.0
103.0,한국금융지주,55900.0,900.0,-1.58%,5000.0,250281.0,863086.0,5458.0
104.0,SKC,79500.0,100.0,+0.13%,5000.0,31389.0,63931.0,2203.0
105.0,현대미포조선,72200.0,2400.0,-3.22%,5000.0,37169.0,47482.0,-1091.0
106.0,KODEX 종합채권(AA-이상)액티브,109005.0,320.0,-0.29%,0.0,,,
107.0,CJ대한통운,123000.0,1100.0,-0.89%,5000.0,121307.0,96933.0,4118.0
108.0,현대로템,25500.0,900.0,-3.41%,5000.0,31633.0,48239.0,1475.0
109.0,F&F,71400.0,3300.0,-4.42%,100.0,18089.0,15702.0,5249.0
110.0,쌍용C&E,5450.0,70.0,-1.27%,100.0,19650.0,38743.0,2209.0
111.0,KODEX 24-12 은행채(AA+이상)액티브,10170.0,5.0,-0.05%,0.0,,,
112.0,LIG넥스원,120500.0,100.0,-0.08%,5000.0,22208.0,30127.0,1791.0
113.0,TIGER 미국나스닥100,100405.0,800.0,+0.80%,0.0,,,
114.0,롯데지주,25100.0,50.0,-0.20%,200.0,141119.0,221754.0,4898.0
115.0,현대해상,29400.0,700.0,-2.33%,500.0,203844.0,522276.0,8080.0
116.0,한전기술,68300.0,900.0,-1.30%,200.0,5053.0,8165.0,139.0
117.0,현대차우,107900.0,1500.0,-1.37%,5000.0,,,
118.0,CJ,88100.0,4500.0,-4.86%,5000.0,409249.0,482404.0,21542.0
119.0,씨에스윈드,60500.0,6200.0,-9.30%,500.0,13749.0,17795.0,421.0
120.0,LS,77900.0,2100.0,-2.62%,5000.0,174913.0,168140.0,6709.0
121.0,BGF리테일,140000.0,4900.0,-3.38%,1000.0,76158.0,29462.0,2524.0
122.0,키움증권,92100.0,800.0,-0.86%,5000.0,89424.0,480373.0,6564.0
123.0,한솔케미칼,211500.0,2500.0,-1.17%,5000.0,8855.0,12533.0,1860.0
124.0,휠라홀딩스,39100.0,150.0,-0.38%,1000.0,42218.0,48218.0,4351.0
125.0,TIGER 미국S&P500,15985.0,90.0,+0.57%,0.0,,,
126.0,GS리테일,22050.0,300.0,-1.34%,1000.0,112264.0,98324.0,2451.0
127.0,농심,378000.0,6000.0,-1.56%,5000.0,31291.0,30347.0,1122.0
128.0,호텔신라,57400.0,1700.0,-2.88%,5000.0,49220.0,29385.0,783.0
129.0,BNK금융지주,6970.0,50.0,-0.71%,5000.0,75756.0,1369664.0,11589.0
130.0,DB하이텍,49800.0,700.0,-1.39%,5000.0,16753.0,21227.0,7687.0
131.0,한화생명,2490.0,65.0,-2.54%,5000.0,337014.0,1612355.0,7147.0
132.0,LG화학우,279500.0,9000.0,-3.12%,5000.0,,,
133.0,한국가스공사,23000.0,600.0,-2.54%,5000.0,517243.0,624250.0,24634.0
134.0,JB금융지주,10640.0,50.0,-0.47%,5000.0,31171.0,598282.0,8258.0
135.0,제일기획,18090.0,240.0,-1.31%,200.0,42534.0,27514.0,3114.0
136.0,아모레G,25150.0,800.0,-3.08%,500.0,44950.0,76510.0,2719.0
137.0,TIGER 200,32995.0,820.0,-2.42%,0.0,,,
138.0,KODEX 레버리지,15480.0,780.0,-4.80%,0.0,,,
139.0,에스원,53100.0,1200.0,-2.21%,500.0,24680.0,20757.0,2041.0
140.0,LS ELECTRIC,65000.0,1100.0,-1.66%,5000.0,33771.0,33228.0,1875.0
141.0,TIGER 차이나전기차SOLACTIVE,7460.0,80.0,-1.06%,0.0,,,
142.0,팬오션,3620.0,110.0,+3.13%,1000.0,64203.0,75489.0,7896.0
143.0,롯데쇼핑,67700.0,2000.0,-2.87%,5000.0,154760.0,317036.0,3862.0
144.0,이마트,67900.0,1500.0,-2.16%,5000.0,293324.0,332017.0,1357.0
145.0,한올바이오파마,36100.0,1250.0,-3.35%,500.0,1100.0,2135.0,15.0
146.0,KODEX 200TR,11280.0,275.0,-2.38%,0.0,,,
147.0,OCI홀딩스,93400.0,3400.0,-3.51%,5000.0,46713.0,67455.0,9767.0
148.0,KCC,203500.0,9000.0,-4.24%,5000.0,67748.0,131185.0,4677.0
149.0,영원무역,40500.0,950.0,-2.29%,500.0,39110.0,45136.0,8230.0
150.0,동원산업,38300.0,1250.0,-3.16%,1000.0,90263.0,70612.0,4944.0
151.0,한화,23050.0,850.0,-3.56%,5000.0,622784.0,2111753.0,25161.0
152.0,이수페타시스,27200.0,50.0,+0.18%,1000.0,6429.0,5460.0,1166.0
153.0,TIGER 미국테크TOP10 INDXX,15530.0,100.0,+0.65%,0.0,,,
154.0,동서,17130.0,180.0,-1.04%,500.0,5565.0,16279.0,392.0
155.0,대우건설,4010.0,80.0,-1.96%,5000.0,104192.0,111404.0,7600.0
156.0,TIGER 미국필라델피아반도체나스닥,14530.0,275.0,+1.93%,0.0,,,
157.0,HL만도,35000.0,2000.0,-5.41%,1000.0,75162.0,58458.0,2481.0
158.0,롯데에너지머티리얼즈,34800.0,1900.0,-5.18%,500.0,7294.0,24303.0,848.0
159.0,오뚜기,395000.0,8500.0,-2.11%,5000.0,31833.0,35698.0,1857.0
160.0,효성중공업,169000.0,4000.0,-2.31%,5000.0,35101.0,46935.0,1432.0
161.0,현대엘리베이,39950.0,250.0,-0.62%,5000.0,21293.0,30145.0,430.0
162.0,신세계,157800.0,3400.0,-2.11%,5000.0,78128.0,143484.0,6454.0
163.0,효성첨단소재,346000.0,15500.0,-4.29%,5000.0,38414.0,29347.0,3151.0
164.0,KODEX 200선물인버스2X,2655.0,125.0,+4.94%,0.0,,,
165.0,현대위아,55500.0,2100.0,-3.65%,5000.0,82076.0,75465.0,2121.0
166.0,삼양식품,199700.0,3300.0,-1.63%,5000.0,9090.0,9249.0,904.0
167.0,하이트진로,21350.0,400.0,-1.84%,5000.0,24976.0,33334.0,1906.0
168.0,한전KPS,33150.0,750.0,-2.21%,200.0,14291.0,15620.0,1306.0
169.0,금호타이어,5190.0,110.0,-2.08%,5000.0,35592.0,46950.0,231.0
170.0,에스엘,31800.0,900.0,-2.75%,500.0,41745.0,29316.0,1979.0
171.0,DL이앤씨,37900.0,1050.0,-2.70%,5000.0,74968.0,89747.0,4970.0
172.0,KG모빌리티,7730.0,110.0,-1.40%,5000.0,34233.0,20019.0,-1120.0
173.0,KBSTAR 머니마켓액티브,51525.0,5.0,+0.01%,0.0,,,
174.0,삼아알미늄,97200.0,2200.0,-2.21%,500.0,3121.0,2882.0,226.0
175.0,솔루엠,28500.0,650.0,-2.23%,500.0,16945.0,10343.0,756.0
176.0,한국앤컴퍼니,14900.0,290.0,-1.91%,500.0,10959.0,43018.0,2452.0
177.0,HD현대인프라코어,7080.0,300.0,-4.07%,1000.0,47561.0,47367.0,3325.0
178.0,TCC스틸,53900.0,700.0,-1.28%,1000.0,6844.0,5075.0,440.0
179.0,DGB금융지주,8340.0,40.0,-0.48%,5000.0,72746.0,910107.0,6072.0
180.0,두산퓨얼셀,21150.0,1000.0,-4.51%,100.0,3121.0,10269.0,72.0
181.0,효성티앤씨,320000.0,14000.0,-4.19%,5000.0,88827.0,43199.0,1236.0
182.0,코스맥스,122000.0,6100.0,+5.26%,500.0,16001.0,13965.0,531.0
183.0,SK가스,148400.0,1900.0,-1.26%,5000.0,80662.0,58318.0,3905.0
184.0,덴티움,123000.0,5000.0,-3.91%,500.0,3559.0,6746.0,1257.0
185.0,종근당,107200.0,4500.0,-4.03%,2500.0,14883.0,11249.0,1099.0
186.0,에스디바이오센서,10700.0,520.0,-4.63%,500.0,29320.0,32619.0,11466.0
187.0,두산,80300.0,3500.0,-4.18%,5000.0,169958.0,263154.0,11260.0
188.0,대덕전자,26100.0,500.0,-1.88%,500.0,13162.0,11918.0,2325.0
189.0,코스모화학,33500.0,1400.0,-4.01%,1000.0,7182.0,8079.0,414.0
190.0,SK네트웍스,5450.0,0.0,0.00%,2500.0,96664.0,94993.0,1542.0
191.0,녹십자,109300.0,4200.0,-3.70%,5000.0,17113.0,25255.0,813.0
192.0,대웅제약,110100.0,1200.0,-1.08%,2500.0,12801.0,15633.0,958.0
193.0,LX세미콘,78300.0,1100.0,-1.39%,500.0,21193.0,12896.0,3106.0
194.0,효성,60000.0,800.0,-1.32%,5000.0,37193.0,52673.0,649.0
195.0,롯데칠성,136200.0,600.0,-0.44%,500.0,28417.0,36959.0,2229.0
196.0,롯데정밀화학,48250.0,1850.0,-3.69%,5000.0,24638.0,27098.0,4043.0
197.0,DS단석,211500.0,15000.0,-6.62%,500.0,11337.0,5656.0,740.0
198.0,KBSTAR 200,33105.0,835.0,-2.46%,0.0,,,
199.0,GS건설,14280.0,340.0,-2.33%,5000.0,122992.0,169466.0,5548.0
200.0,KBSTAR 종합채권(A-이상)액티브,101165.0,200.0,-0.20%,0.0,,,
201.0,롯데웰푸드,128600.0,2900.0,-2.21%,500.0,32033.0,41053.0,1124.0
202.0,TIGER 2차전지테마,24365.0,955.0,-3.77%,0.0,,,
203.0,한국콜마,52100.0,500.0,-0.95%,500.0,18657.0,29333.0,733.0
204.0,KODEX 단기채권PLUS,109270.0,10.0,+0.01%,0.0,,,
205.0,KODEX Top5PlusTR,18650.0,400.0,-2.10%,0.0,,,
206.0,대한전선,9440.0,270.0,-2.78%,1000.0,24505.0,16203.0,482.0
207.0,대웅,19960.0,490.0,-2.40%,500.0,16973.0,21589.0,2073.0
208.0,코리안리,7000.0,90.0,-1.27%,500.0,125791.0,149781.0,1925.0
209.0,KODEX 삼성그룹,8410.0,215.0,-2.49%,0.0,,,
210.0,SK케미칼,64800.0,1100.0,-1.67%,5000.0,18292.0,39457.0,2305.0
211.0,TIGER MSCI Korea TR,13890.0,360.0,-2.53%,0.0,,,
212.0,TIGER TOP10,10775.0,280.0,-2.53%,0.0,,,
213.0,코오롱인더,40150.0,1150.0,-2.78%,5000.0,53675.0,60035.0,2425.0
214.0,SK오션플랜트,18530.0,470.0,-2.47%,500.0,6918.0,12200.0,719.0
215.0,한샘,46600.0,450.0,-0.96%,1000.0,20009.0,10997.0,-217.0
216.0,더존비즈온,36000.0,1400.0,+4.05%,500.0,3043.0,8329.0,455.0
217.0,DL,51400.0,1100.0,-2.10%,5000.0,51750.0,120190.0,2875.0
218.0,현대백화점,46000.0,2150.0,-4.47%,5000.0,50141.0,120692.0,3209.0
219.0,흥아해운,4455.0,225.0,+5.32%,500.0,1779.0,3171.0,297.0
220.0,LX인터내셔널,27250.0,600.0,-2.15%,5000.0,187595.0,77190.0,9655.0
221.0,SK리츠,3855.0,40.0,-1.03%,500.0,322.0,44322.0,197.0
222.0,KODEX 2차전지산업,20780.0,825.0,-3.82%,0.0,,,
223.0,제주항공,12710.0,100.0,-0.78%,1000.0,7025.0,16636.0,-1775.0
224.0,풍산,36150.0,1100.0,-2.95%,5000.0,43730.0,33953.0,2316.0
225.0,영원무역홀딩스,73800.0,300.0,-0.40%,500.0,45339.0,54902.0,10022.0
226.0,HDC현대산업개발,14970.0,100.0,+0.67%,5000.0,32983.0,73363.0,1164.0
227.0,후성,10170.0,430.0,-4.06%,500.0,6106.0,9338.0,1054.0
228.0,동원시스템즈,33000.0,1300.0,-3.79%,5000.0,14370.0,14517.0,918.0
229.0,롯데렌탈,26000.0,250.0,-0.95%,5000.0,27389.0,69272.0,3084.0
230.0,KODEX 코스닥150레버리지,9980.0,480.0,-4.59%,0.0,,,
231.0,일진하이솔루스,25850.0,850.0,-3.18%,500.0,1091.0,3425.0,28.0
232.0,이수스페셜티케미컬,167600.0,6000.0,-3.46%,5000.0,,,
233.0,하나투어,57200.0,700.0,-1.21%,500.0,1150.0,4554.0,-1012.0
234.0,해성디에스,53500.0,500.0,-0.93%,5000.0,8394.0,6596.0,2044.0
235.0,TIGER 단기채권액티브,53245.0,0.0,0.00%,0.0,,,
236.0,대한해운,2810.0,425.0,+17.82%,500.0,16120.0,44903.0,2677.0
237.0,HD현대건설기계,45300.0,2250.0,-4.73%,5000.0,35156.0,34486.0,1706.0
238.0,명신산업,16880.0,740.0,-4.20%,500.0,15152.0,9293.0,1269.0
239.0,영풍,474500.0,7500.0,-1.56%,5000.0,44295.0,58719.0,689.0
240.0,아시아나항공,11590.0,130.0,-1.11%,5000.0,62067.0,134553.0,5988.0
241.0,세아제강지주,205000.0,10000.0,-4.65%,5000.0,39538.0,35721.0,5672.0
242.0,오리온홀딩스,13550.0,60.0,-0.44%,500.0,29346.0,51022.0,3998.0
243.0,대한유화,130000.0,3200.0,-2.40%,5000.0,22221.0,21958.0,-2146.0
244.0,드림텍,12140.0,240.0,-1.94%,100.0,13686.0,8254.0,967.0
245.0,미래에셋생명,4690.0,20.0,-0.42%,5000.0,33663.0,372500.0,880.0
246.0,DN오토모티브,82000.0,700.0,-0.85%,500.0,31564.0,45916.0,4215.0
247.0,TKG휴켐스,19850.0,200.0,-1.00%,1000.0,12358.0,9414.0,1171.0
248.0,미원상사,169800.0,800.0,-0.47%,500.0,4382.0,4156.0,770.0
249.0,이노션,20150.0,50.0,-0.25%,500.0,17504.0,22901.0,1369.0
250.0,세방전지,57300.0,1400.0,-2.39%,500.0,14731.0,16770.0,811.0
251.0,제이알글로벌리츠,4045.0,40.0,-0.98%,1000.0,573.0,20568.0,328.0
252.0,한일시멘트,11480.0,90.0,-0.78%,500.0,14876.0,24608.0,1180.0
253.0,한세실업,19720.0,350.0,+1.81%,500.0,22048.0,12392.0,1796.0
254.0,보령,11460.0,40.0,-0.35%,500.0,7605.0,8924.0,566.0
255.0,다우기술,17400.0,260.0,-1.47%,500.0,92106.0,492600.0,7187.0
256.0,JW중외제약,34050.0,2050.0,-5.68%,2500.0,6844.0,6280.0,630.0
257.0,롯데손해보험,2485.0,15.0,-0.60%,1000.0,36130.0,179258.0,-765.0
258.0,GKL,12380.0,270.0,-2.13%,500.0,2621.0,6095.0,-139.0
259.0,넥센타이어,7820.0,80.0,-1.01%,500.0,25974.0,39443.0,-543.0
260.0,PI첨단소재,25900.0,600.0,-2.26%,500.0,2764.0,4990.0,521.0
261.0,TIGER Fn반도체TOP10,9865.0,110.0,-1.10%,0.0,,,
262.0,ESR켄달스퀘어리츠,3560.0,60.0,-1.66%,1000.0,495.0,23777.0,261.0
263.0,KG스틸,7580.0,130.0,-1.69%,5000.0,38197.0,30515.0,3404.0
264.0,아이에스동서,24450.0,900.0,-3.55%,500.0,22784.0,37378.0,3451.0
265.0,한화투자증권,3520.0,50.0,+1.44%,5000.0,21143.0,121112.0,344.0
266.0,세아베스틸지주,20800.0,600.0,-2.80%,5000.0,43863.0,38184.0,1279.0
267.0,LG전자우,43000.0,300.0,-0.69%,5000.0,,,
268.0,롯데리츠,3025.0,40.0,-1.31%,500.0,587.0,23427.0,348.0
269.0,한국단자,69900.0,2200.0,-3.05%,500.0,11681.0,12898.0,643.0
270.0,더블유게임즈,40000.0,2850.0,-6.65%,500.0,6173.0,12356.0,1839.0
271.0,KODEX 미국S&P500TR,14435.0,75.0,+0.52%,0.0,,,
272.0,ACE 미국S&P500,16155.0,105.0,+0.65%,0.0,,,
273.0,NHN,20700.0,350.0,-1.66%,500.0,21149.0,30252.0,391.0
274.0,TIGER 2차전지소재Fn,7885.0,305.0,-3.72%,0.0,,,
275.0,TIGER 200 IT,29835.0,665.0,-2.18%,0.0,,,
276.0,대신증권,13990.0,30.0,+0.21%,5000.0,42313.0,212107.0,2535.0
277.0,동양생명,4360.0,20.0,-0.46%,5000.0,102796.0,374202.0,1299.0
278.0,녹십자홀딩스,14760.0,390.0,-2.57%,500.0,20796.0,35921.0,712.0
279.0,OCI,92800.0,5900.0,-5.98%,5000.0,,,
280.0,경동나비엔,47350.0,1000.0,-2.07%,1000.0,11609.0,10180.0,598.0
281.0,롯데관광개발,9100.0,130.0,-1.41%,500.0,1837.0,18028.0,-1187.0
282.0,SK디스커버리,36200.0,1700.0,-4.49%,5000.0,87171.0,117801.0,3622.0
283.0,율촌화학,27450.0,850.0,-3.00%,500.0,5089.0,6531.0,-46.0
284.0,KODEX 인버스,4700.0,115.0,+2.51%,0.0,,,
285.0,HSD엔진,9460.0,80.0,-0.84%,1000.0,7642.0,9562.0,-295.0
286.0,미원에스씨,134500.0,0.0,0.00%,500.0,6116.0,4757.0,809.0
287.0,진에어,12780.0,120.0,+0.95%,1000.0,5934.0,7719.0,-673.0
288.0,롯데정보통신,43200.0,450.0,-1.03%,5000.0,10477.0,8719.0,343.0
289.0,신풍제약,12390.0,280.0,-2.21%,500.0,2093.0,3615.0,-340.0
290.0,KODEX 코스닥150,13075.0,330.0,-2.46%,0.0,,,
291.0,SK디앤디,29250.0,50.0,-0.17%,1000.0,5634.0,21916.0,643.0
292.0,CJ CGV,5300.0,110.0,-2.03%,500.0,12813.0,36015.0,-768.0
293.0,ACE 미국30년국채액티브(H),8755.0,110.0,-1.24%,0.0,,,
294.0,태광산업,581000.0,14000.0,-2.35%,5000.0,27039.0,49100.0,-1221.0
295.0,KODEX 단기채권,108465.0,5.0,0.00%,0.0,,,
296.0,TIGER 24-10 회사채(A+이상)액티브,54175.0,10.0,+0.02%,0.0,,,
297.0,비에이치,18580.0,640.0,-3.33%,500.0,16811.0,10073.0,1313.0
298.0,SOL 종합채권(AA-이상)액티브,105675.0,210.0,-0.20%,0.0,,,
299.0,대상,18400.0,190.0,-1.02%,1000.0,40841.0,31902.0,1400.0
300.0,자화전자,28750.0,700.0,-2.38%,500.0,2923.0,5058.0,-117.0
301.0,애경케미칼,13050.0,250.0,-1.88%,500.0,21764.0,12341.0,951.0
302.0,KCC글라스,39550.0,450.0,-1.13%,1000.0,14437.0,22096.0,1192.0
303.0,KODEX 반도체,33655.0,290.0,-0.85%,0.0,,,
304.0,TIGER 단기통안채,105815.0,0.0,0.00%,0.0,,,
305.0,DI동일,25250.0,950.0,-3.63%,500.0,9137.0,10003.0,448.0
306.0,ACE 종합채권(AA-이상)KIS액티브,99660.0,255.0,-0.26%,0.0,,,
307.0,KODEX 미국나스닥100TR,14945.0,135.0,+0.91%,0.0,,,
308.0,동아쏘시오홀딩스,97900.0,0.0,0.00%,5000.0,10149.0,17315.0,379.0
309.0,LS에코에너지,20100.0,50.0,+0.25%,500.0,8185.0,5067.0,275.0
310.0,SNT모티브,42050.0,750.0,-1.75%,5000.0,10449.0,12255.0,1119.0
311.0,KODEX 자동차,17655.0,425.0,-2.35%,0.0,,,
312.0,동원F&B,31150.0,700.0,-2.20%,1000.0,40236.0,20717.0,1287.0
313.0,티웨이항공,2975.0,15.0,-0.50%,500.0,5258.0,10425.0,-1039.0
